defect,column,layer,subsystem,domain_status,domain_mechanism,direction_hypothesis,delta_pure,p_fdr_pure,flag_univariate,flag_nonlinear,flag_rf,flag_machine_controlled,flag_shap,shap_mean_abs,n_methods_agree,temporal_status,reproducibility,delta_original,delta_r1,tier
Micro_Crack,Vibration,FDC,fdc_mechanical,defect_related,"장비/스테이지 진동. 멘토가 설비 열화 대표신호로 지목, 실제 스크랩 사고 사례. JHdaimma SHAP 원인모델 1위",up,0.0633,3.447e-13,False,False,True,True,True,0.24258,3,판단보류,not_reproduced,0.08715492679275649,-0.09221442997667184,Tier2d_데이터셋특정적_재현안됨
Micro_Crack,Surface_Roughness,Response,response,monitor_only_not_cause,JHdaimma: Vibration의 압도적 드라이버(perm.imp 0.424)라 균열과 공통원인을 공유하는 동반지표,not_applicable,0.44,0.000e+00,True,False,True,True,False,,3,판단보류,reproduced,0.41693558162716493,0.36384205817017135,monitor_only
Micro_Crack,Alignment_Time,FDC,fdc_motion,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0249,7.310e-03,False,False,True,True,True,0.13225,3,판단보류,direction_only,0.16330228748362674,0.022684174115739753,candidate_needs_domain_review
Micro_Crack,Process_Time,FDC,fdc_motion,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0128,1.910e-01,False,False,True,True,True,0.13971,3,판단보류,direction_only,-0.13784598528205472,-0.011730599978553746,candidate_needs_domain_review
Micro_Crack,Cutting_X_Index,FDC,fdc_motion,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0057,6.325e-01,False,False,True,True,True,0.11056,3,판단보류,not_reproduced,-0.002511147907935718,0.004580363760223749,candidate_needs_domain_review
Micro_Crack,Cutting_Y_Index,FDC,fdc_motion,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0004,9.895e-01,False,False,True,False,True,0.14694,2,판단보류,direction_only,-0.05960114674283379,-0.0022570871517454405,candidate_needs_domain_review
Micro_Crack,CLN_Flow,FDC,fdc_cleaning,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0147,1.374e-01,False,False,True,False,True,0.14079,2,판단보류,direction_only,-0.014492868751846189,-0.007637675118803866,candidate_needs_domain_review
Micro_Crack,CLN_Pressure,FDC,fdc_cleaning,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0172,7.426e-02,False,False,False,True,True,0.12276,2,판단보류,not_reproduced,-0.05048598876559207,0.018658686515001355,candidate_needs_domain_review
Micro_Crack,CLN_Time,FDC,fdc_cleaning,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0022,9.124e-01,False,False,False,True,True,0.14056,2,판단보류,not_reproduced,-0.2991375891332465,0.0011071964756832475,candidate_needs_domain_review
Micro_Crack,Cooling_Flow,FDC,fdc_thermal,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0232,1.118e-02,False,False,True,False,False,0.10832,1,판단보류,direction_only,0.06837942547524989,0.06496965040437575,insufficient_evidence
