kind,item,process_stage,description,note,source
defect_mechanism,Chipping,2_laser_grooving + 4_blade_dicing,모서리 파손. Front-side는 레이저 그루빙 불충분(홈 깊이/폭 부족)으로 블레이드가 잔류 low-k를 타격해 발생. Back-side는 블레이드 마모/이송속도/진동 등 다이싱 요인.,레이저 홈 폭 < 블레이드 폭이면 블레이드가 low-k 가장자리를 침범 -> Chipping,현업 도메인지식 + HBM DP 공정지식
defect_mechanism,Micro_Crack,4_blade_dicing,미세균열. 레이저 HAZ는 scribe lane 내부에 국한되고 블레이드가 그 자리를 제거하므로 그루빙 기여가 작다(현업 확인). 블레이드 절삭 응력/진동 채터/백그라인딩 잔류 손상에 의한 표면하 손상층이 주 원인.,HBM은 박형화+적층 본딩이라 die break strength 저하가 치명적 — 다이싱 시 균열이 본딩 단계에서 전파되어 스택 전체 불량으로 확대,현업 도메인지식 + HBM DP 공정지식
process_stage,0_equipment,0_equipment,설비 상태/정비 이력,,HBM DP(LGBD) 공정 흐름
process_stage,1_coating,1_coating,보호 코팅 도포 — 레이저 debris가 웨이퍼 표면에 붙는 것을 방지,,HBM DP(LGBD) 공정 흐름
process_stage,2_laser_grooving,2_laser_grooving,레이저 그루빙 — scribe lane의 low-k+금속층을 승화(ablation)로 제거,,HBM DP(LGBD) 공정 흐름
process_stage,2R_grooving_result,2R_grooving_result,레이저 그루빙 결과 측정값 (홈 깊이/폭/각도),,HBM DP(LGBD) 공정 흐름
process_stage,3_cleaning,3_cleaning,세정 — 레이저 debris 및 보호 코팅 제거,,HBM DP(LGBD) 공정 흐름
process_stage,4_blade_dicing,4_blade_dicing,블레이드 다이싱 — 벌크 실리콘 절단 (low-k는 이미 제거된 상태),,HBM DP(LGBD) 공정 흐름
process_stage,4R_dicing_result,4R_dicing_result,다이싱 결과 측정값 (절단면 품질/다이 치수),,HBM DP(LGBD) 공정 흐름
column_stage_mapping,Coating_Flow,1_coating,보호 코팅 도포 — 레이저 debris가 웨이퍼 표면에 붙는 것을 방지,매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Coating_Thickness,1_coating,보호 코팅 도포 — 레이저 debris가 웨이퍼 표면에 붙는 것을 방지,매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Coating_Uniformity,1_coating,보호 코팅 도포 — 레이저 debris가 웨이퍼 표면에 붙는 것을 방지,매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Laser_Power,2_laser_grooving,레이저 그루빙 — scribe lane의 low-k+금속층을 승화(ablation)로 제거,매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Power_Efficiency,2_laser_grooving,레이저 그루빙 — scribe lane의 low-k+금속층을 승화(ablation)로 제거,매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
