defect,column,layer,subsystem,domain_status,domain_mechanism,direction_hypothesis,delta_pure,p_fdr_pure,flag_univariate,flag_nonlinear,flag_rf,flag_machine_controlled,flag_shap,shap_mean_abs,n_methods_agree,temporal_status,tier
Micro_Crack,Vibration,FDC,fdc_mechanical,defect_related,"장비/스테이지 진동. 멘토가 설비 열화 대표신호로 지목, 실제 스크랩 사고 사례. JHdaimma SHAP 원인모델 1위",up,0.0633,3.447e-13,False,False,True,True,True,0.24258,3,판단보류,Tier2_통계확정_인과방향검증필요
Micro_Crack,Surface_Roughness,Response,response,monitor_only_not_cause,JHdaimma: Vibration의 압도적 드라이버(perm.imp 0.424)라 균열과 공통원인을 공유하는 동반지표,not_applicable,0.44,0.000e+00,True,False,True,True,False,,3,판단보류,monitor_only
Micro_Crack,Alignment_Time,FDC,fdc_motion,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0249,7.310e-03,False,False,True,True,True,0.13225,3,판단보류,candidate_needs_domain_review
Micro_Crack,Process_Time,FDC,fdc_motion,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0128,1.910e-01,False,False,True,True,True,0.13971,3,판단보류,candidate_needs_domain_review
Micro_Crack,Cutting_X_Index,FDC,fdc_motion,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0057,6.325e-01,False,False,True,True,True,0.11056,3,판단보류,candidate_needs_domain_review
Micro_Crack,Cutting_Y_Index,FDC,fdc_motion,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0004,9.895e-01,False,False,True,False,True,0.14694,2,판단보류,candidate_needs_domain_review
Micro_Crack,CLN_Flow,FDC,fdc_cleaning,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0147,1.374e-01,False,False,True,False,True,0.14079,2,판단보류,candidate_needs_domain_review
Micro_Crack,CLN_Pressure,FDC,fdc_cleaning,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0172,7.426e-02,False,False,False,True,True,0.12276,2,판단보류,candidate_needs_domain_review
Micro_Crack,CLN_Time,FDC,fdc_cleaning,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0022,9.124e-01,False,False,False,True,True,0.14056,2,판단보류,candidate_needs_domain_review
Micro_Crack,Cooling_Flow,FDC,fdc_thermal,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0232,1.118e-02,False,False,True,False,False,0.10832,1,판단보류,insufficient_evidence
Micro_Crack,Cooling_Water_Temp,FDC,fdc_thermal,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0125,1.910e-01,False,False,False,False,True,0.15475,1,판단보류,insufficient_evidence
Micro_Crack,Package_Size_1,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0386,1.211e-05,False,False,False,True,False,,1,판단보류,insufficient_evidence
Micro_Crack,Coating_Thickness,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0136,1.694e-01,False,False,True,False,False,,1,판단보류,insufficient_evidence
Micro_Crack,Cooling_Thermal_Load,FDC,engineered,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0076,4.916e-01,False,False,False,False,True,0.14519,1,판단보류,insufficient_evidence
Micro_Crack,Package_Size_Asymmetry,Other,engineered,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0418,2.488e-06,False,False,False,True,False,,1,판단보류,insufficient_evidence
Micro_Crack,Maintenance_Count,Other,undocumented_env_or_infra,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0023,9.124e-01,False,False,True,False,False,,1,판단보류,insufficient_evidence
Micro_Crack,Coating_Flow,FDC,fdc_cleaning,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0003,9.895e-01,False,False,False,False,False,0.10213,0,미검사,insufficient_evidence
Micro_Crack,Package_Size_2,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0504,8.456e-09,False,False,False,False,False,,0,미검사,insufficient_evidence
Micro_Crack,Package_Size_3,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.038,1.444e-05,False,False,False,False,False,,0,미검사,insufficient_evidence
Micro_Crack,Package_Size_4,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0403,4.988e-06,False,False,False,False,False,,0,미검사,insufficient_evidence
Micro_Crack,Coating_Uniformity,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0001,9.895e-01,False,False,False,False,False,,0,미검사,insufficient_evidence
Micro_Crack,Cleaning_Capacity,FDC,engineered,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0246,7.365e-03,False,False,False,False,False,0.09787,0,미검사,insufficient_evidence
Micro_Crack,Cleaning_Load_Ratio,Response,engineered,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.052,3.287e-09,False,False,False,False,False,,0,미검사,insufficient_evidence
