column,subsystem,data_type,analysis_role,variability_class,variability_ratio,dispersion_method,degradation_trend_class,missing_rate,zero_fault_rate,flatline_fault_rate,is_operation_condition_key,is_excluded_identifier,is_mentor_excluded,is_mentor_excluded_defect,mentor_pending_review,include_in_downstream_default,decision_note
DateTime,id_production,datetime,datetime,not_applicable,,not_applicable,not_applicable,,,,False,False,False,False,False,False,
Machine_ID,id_production,categorical,context_stratum,not_applicable,,not_applicable,not_applicable,0.0,0.0,0.0,False,False,False,False,False,True,장비/제품/레시피 층 정의 및 범주형 통제변수로 사용.
Product_ID,id_production,categorical,context_stratum,not_applicable,,not_applicable,not_applicable,0.0,0.0,0.0,True,False,False,False,False,True,장비/제품/레시피 층 정의 및 범주형 통제변수로 사용.
Shift,id_production,categorical,identifier_excluded,not_applicable,,not_applicable,not_applicable,0.0,0.0,0.0,False,True,False,False,False,False,"멘토 피드백: 로트 추적/작업자 식별용, 분석 피처로 부적합 — 원본엔 보존, 피처셋에서 제외."
Lot_ID,id_production,id,identifier_excluded,not_applicable,,not_applicable,not_applicable,0.0,0.0,0.0,False,True,False,False,False,False,"멘토 피드백: 로트 추적/작업자 식별용, 분석 피처로 부적합 — 원본엔 보존, 피처셋에서 제외."
Strip_ID,id_production,id,identifier_excluded,not_applicable,,not_applicable,not_applicable,0.0,0.0,0.0,False,True,False,False,False,False,"멘토 피드백: 로트 추적/작업자 식별용, 분석 피처로 부적합 — 원본엔 보존, 피처셋에서 제외."
Recipe_ID,id_production,categorical,context_stratum,not_applicable,,not_applicable,not_applicable,0.0,0.0,0.0,True,False,False,False,False,True,장비/제품/레시피 층 정의 및 범주형 통제변수로 사용.
Operator_ID,id_production,categorical,identifier_excluded,not_applicable,,not_applicable,not_applicable,0.0,0.0,0.0,False,True,False,False,False,False,"멘토 피드백: 로트 추적/작업자 식별용, 분석 피처로 부적합 — 원본엔 보존, 피처셋에서 제외."
Laser_Power,fdc_laser,continuous,predictor,stable,0.004504997043373037,cv_or_range_normalized,candidate_downward_drift,0.0,0.0,0.0,False,False,False,False,False,True,
Power_Efficiency,fdc_laser,continuous,predictor,stable,0.0016286366500114402,cv_or_range_normalized,mixed,0.0,0.0,0.0,False,False,False,False,False,True,"멘토 피드백: 비선형(U자형/최적구간) 특성 — 효율이 높아져도 낮아져도 불량과 연관될 수 있음. 단순 선형/단조 상관(Mann-Whitney 등)으로만 해석하지 말 것, |편차| 기준 검정이나 구간화 분석을 함께 검토할 것."
Laser_Centering_Position,fdc_laser,continuous,predictor,variable,0.1458419380951287,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,False,False,False,True,멘토 피드백: Head_Temp 인과사슬의 종착점 — 레이저 품질 이상의 핵심 원인 중 하나로 반복 언급됨.
