target,factor,layer,subsystem,process_stage,stage_confidence,is_laser_grooving,role,verdict,domain_status,domain_mechanism,direction_hypothesis,domain_source,delta_primary,delta_broad,delta_pure,p_fdr_broad,p_fdr_pure,delta_nonlinear_abs_pure,tree_imp_broad,tree_rank_broad,tree_imp_pure,tree_rank_pure,flag_univariate,flag_nonlinear,flag_tree,n_methods_agree,delta_original_dataset,delta_r1_dataset,n_machines_effect_ge_02,n_machines_tested,caution
Chipping,Laser_Power,FDC,fdc_laser,2_laser_grooving,확실,True,원인후보,confirmed,defect_related,출력 부족 -> low-k 불완전 승화 -> 잔류물에 블레이드 충돌 (Jun은 Burn전용으로 오분류했음),down,공정지식+데이터반증,-0.9229,-0.9229,-0.8724,0.000e+00,0.000e+00,0.8208,0.088921,3,0.094424,1,True,True,True,2,,-0.9071,4,4,
Chipping,Power_Efficiency,FDC,fdc_laser,2_laser_grooving,확실,True,원인후보,confirmed,defect_related,실제 조사 에너지 이상 -> 승화 불완전 (⚠멘토: U자형 비선형),either,공정지식+멘토,-0.9506,-0.9506,-0.8989,0.000e+00,0.000e+00,0.877,0.13208,1,0.092247,2,True,True,True,2,,-0.9246,4,4,멘토: U자형 비선형 — 단조검정 과소평가 가능
Chipping,Laser_Cleaning_Demand,Engineered,engineered,2_laser_grooving,파생,True,원인후보,confirmed,defect_related,Laser_Power x Groove_Depth — 승화 부담 지표,either,팀공용피처,-0.9123,-0.9123,-0.8622,0.000e+00,0.000e+00,0.8036,0.109258,2,0.085106,3,True,True,True,2,,-0.8965,4,4,
Chipping,Kerf_Width_Profile,Response,response,2R_grooving_result,확실,True,감시지표,confirmed,defect_related,레이저 홈 폭 < 블레이드 폭이면 블레이드가 안 파인 low-k 가장자리 침범,either,팀설계서+공정지식,0.9825,0.9825,0.9306,0.000e+00,0.000e+00,0.9301,0.072279,5,0.082423,4,True,True,True,2,,0.96,4,4,
Chipping,Bottom_Kerf,Response,response,2R_grooving_result,확실,True,감시지표,confirmed,defect_related,홈 폭 계열 — 동일 메커니즘 (⚠멘토 값중복 재확인 예정),either,팀설계서,0.9794,0.9794,0.9272,0.000e+00,0.000e+00,0.9243,0.056683,6,0.074477,5,True,True,True,2,,0.9565,4,4,멘토 재확인 대기
Chipping,Top_Kerf,Response,response,2R_grooving_result,확실,True,감시지표,confirmed,defect_related,홈 폭 계열 — Kerf_Width_Profile과 동일 메커니즘,either,팀설계서,0.978,0.978,0.926,0.000e+00,0.000e+00,0.9232,0.083568,4,0.060226,6,True,True,True,2,,0.9537,4,4,
Chipping,Laser_Centering_Position,FDC,fdc_laser,2_laser_grooving,확실,True,원인후보,confirmed,defect_related,Head_Temp 인과사슬 종착점 — 빔 중심 이탈로 비대칭 절단,either,멘토 인과사슬,0.6577,0.6577,0.6067,0.000e+00,0.000e+00,0.6164,0.010271,9,0.056658,7,True,True,True,2,,0.6478,1,4,
Chipping,Surface_Roughness,Response,response,4R_dicing_result,추정(멘토 drop여부 미확정),False,감시지표,confirmed,defect_related,결과 공변 — 파손부가 거칠기를 높일 가능성 (⚠멘토 drop 미확정),up,Jun+주의,0.5034,0.5034,0.3982,0.000e+00,0.000e+00,0.2198,0.00179,15,0.048923,8,True,True,True,2,,0.4848,2,4,멘토 재확인 대기 / 공정단계 매핑 추정(멘토 drop여부 미확정)
Chipping,Head_Temp,FDC,fdc_thermal,2_laser_grooving,확실,True,원인후보,confirmed,defect_related,헤드온도->크리스탈 스팟온도->굴절률->센터링 변화->Chipping/Kerf 불균일,up,멘토 인과사슬,0.9319,0.9319,0.8867,0.000e+00,0.000e+00,0.8775,0.005145,11,0.03284,9,True,True,True,2,,0.8665,2,4,
Chipping,Groove_Depth,Response,response,2R_grooving_result,확실,True,감시지표,confirmed,defect_related,깊이 부족 시 low-k 미승화 -> 블레이드가 잔류 low-k 직접 타격 -> 박리/파손,down,팀설계서C유형+공정지식,-0.7993,-0.7993,-0.7504,0.000e+00,0.000e+00,0.65,0.014721,8,0.01909,10,True,True,True,2,,-0.7863,4,4,
Chipping,Vibration,FDC,fdc_mechanical,4_blade_dicing,확실(멘토: 열화 대표신호),False,원인후보,confirmed,defect_related,블레이드 채터/스테이지 흔들림 -> 나이프 자국형 대형 불량,up,팀설계서회의록+멘토사고사례,0.9022,0.9022,0.8443,0.000e+00,0.000e+00,0.8006,0.031032,7,0.008578,13,True,True,True,2,,0.8694,2,4,
Chipping,Package_Size_Asymmetry,Response,engineered,4R_dicing_result,파생(김시우 신규),False,감시지표,confirmed,defect_related,센터링 이상 시 4방향 다이 크기 비대칭 발생,up,멘토+김시우신규피처,0.6493,0.6493,0.6005,0.000e+00,0.000e+00,0.5929,0.010015,10,0.00695,14,True,True,True,2,,0.639,1,4,
Chipping,Package_Size_4,Response,response,4R_dicing_result,확실,False,감시지표,candidate_weak_signal,defect_related,정렬 불량 동반지표,either,팀설계서E유형,0.6466,0.6466,0.5959,0.000e+00,0.000e+00,0.58,-0.000698,38,0.018738,11,True,True,False,1,,0.6368,1,4,
Chipping,Package_Size_1,Response,response,4R_dicing_result,확실,False,감시지표,candidate_weak_signal,defect_related,정렬 불량 동반지표,either,팀설계서E유형,-0.6479,-0.6479,-0.5988,0.000e+00,0.000e+00,0.5887,0.000588,18,0.013633,12,True,True,False,1,,-0.6388,1,4,
Chipping,Package_Size_2,Response,response,4R_dicing_result,확실,False,감시지표,candidate_weak_signal,defect_related,정렬 불량 동반지표,either,팀설계서E유형,-0.5788,-0.5788,-0.5287,0.000e+00,0.000e+00,0.476,0.00132,16,0.00412,17,True,True,False,1,,-0.57,1,4,
Chipping,Kerf_Angle,Response,response,2R_grooving_result,확실,True,감시지표,candidate_weak_signal,defect_related,홈 단면 형상 이상 -> 응력 집중,either,팀설계서E유형,0.8246,0.8246,0.7811,0.000e+00,0.000e+00,0.6967,0.003542,12,0.003481,18,True,True,False,1,,0.7653,2,4,
Chipping,Package_Size_3,Response,response,4R_dicing_result,확실,False,감시지표,candidate_weak_signal,defect_related,정렬 불량 동반지표,either,팀설계서E유형,0.5739,0.5739,0.5253,0.000e+00,0.000e+00,0.4713,0.003327,13,-0.000539,35,True,True,False,1,,0.5641,1,4,
Chipping,Cleaning_Load_Ratio,Engineered,engineered,3_cleaning,파생,False,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,-0.5112,-0.5112,-0.4789,0.000e+00,0.000e+00,0.1966,0.003216,14,0.006143,15,True,False,False,1,,-0.5318,1,4,
Chipping,CLN_Flow,FDC,fdc_cleaning,3_cleaning,확실,False,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,0.1327,0.1327,0.1293,8.030e-246,7.825e-156,-0.1175,0.000358,21,0.004129,16,False,False,False,0,,0.1559,0,4,
Chipping,Cooling_Flow,FDC,fdc_thermal,4_blade_dicing,미확정(멘토 재확인 예정),False,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,-0.4992,-0.4992,-0.48,0.000e+00,0.000e+00,0.2924,9.9e-05,25,0.00341,19,True,True,False,1,,-0.4623,2,4,멘토 재확인 대기 / 공정단계 매핑 미확정(멘토 재확인 예정)
Chipping,Process_Time,FDC,fdc_motion,4_blade_dicing,추정,False,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,-0.0007,-0.0007,0.0034,9.800e-01,7.057e-01,-0.0013,6.8e-05,26,0.001964,20,False,False,False,0,,0.0002,0,4,공정단계 매핑 추정
Chipping,Frequency,FDC,fdc_laser,2_laser_grooving,확실(멘토확인),True,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,-0.0041,-0.0041,-0.0162,4.800e-01,1.466e-03,-0.0078,-9.2e-05,31,0.001541,21,False,False,False,0,,-0.0031,0,4,
Chipping,CLN_Pressure,FDC,fdc_cleaning,3_cleaning,확실,False,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,0.0,0.0,-0.0054,9.967e-01,4.049e-01,0.0026,0.000664,17,0.001235,22,False,False,False,0,,-0.0002,0,4,
Chipping,Cleaning_Capacity,Engineered,engineered,3_cleaning,파생,False,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,0.0773,0.0773,0.0762,1.497e-84,3.513e-55,-0.0477,0.000454,20,0.000549,23,False,False,False,0,,0.1325,0,4,
Chipping,Laser_Current,FDC,fdc_laser,2_laser_grooving,확실,True,-,insufficient_evidence,team_undetermined,설계서F유형 불확실,unknown,팀미확정,0.009,0.009,0.0083,3.904e-02,1.416e-01,0.0107,-3.6e-05,29,0.000495,24,False,False,False,0,,0.0111,0,4,
Chipping,Alignment_Time,FDC,fdc_motion,4_blade_dicing,추정,False,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,-0.0035,-0.0035,-0.0021,5.597e-01,7.860e-01,0.0054,-0.0001,32,1e-05,25,False,False,False,0,,-0.0056,0,4,공정단계 매핑 추정
