factor,defects,mechanism,check,action,source,status
Bottom_Kerf,Chipping,"Kerf_Width_Profile과 동일 메커니즘 상속 (3방법 합의로 확정, 값 중복 여부는 팀 자체 검증 완료 — 중복 아님)",Bottom_Kerf 실측값을 baseline(00_stratum_baseline_stats_by_opcond.csv) 대비 확인,Bottom_Kerf 이상 원인(설비 점검/재보정) 조치 후 Chipping 불량률 72시간 재확인,JHdaimma,DRAFT_UNVERIFIED — 멘토/현장 SOP 확인 전까지 참고용
Cooling_Flow,Micro_Crack,냉각 유량 부족(Chipping과 공유 원인으로 확인),Cooling_Flow 실측값을 baseline(00_stratum_baseline_stats_by_opcond.csv) 대비 확인,Cooling_Flow 이상 원인(설비 점검/재보정) 조치 후 Micro_Crack 불량률 72시간 재확인,JHdaimma,DRAFT_UNVERIFIED — 멘토/현장 SOP 확인 전까지 참고용
Groove_Depth,Chipping,"가공 깊이 부족(deep이 아니라 shallow가 위험) -> Low-k가 완전히 승화되지 못해 Blade 진입 시 Chipping 발생. Jun 통계검정 confirmed. (정정 26.08.02: JHdaimma 모델에서 Laser_Power의 결과값(R²=0.606)으로도 나오지만, 이건 JHdaimma가 Chipping 예측 후보에서 애초에 제외하고 다른 회귀로만 다룬 것뿐 — Jun이 별도로 직접 검정해서 confirmed 받은 결과를 무효화하는 근거가 아님. JHdaimma도 감시지표로 -0.750(얕을수록 위험과 일치하는 강한 음의 방향)을 별도 확인함.)",Groove_Depth 실측값을 baseline(00_stratum_baseline_stats_by_opcond.csv) 대비 확인,Groove_Depth 이상 원인(설비 점검/재보정) 조치 후 Chipping 불량률 72시간 재확인,Jun,DRAFT_UNVERIFIED — 멘토/현장 SOP 확인 전까지 참고용
Head_Temp,Chipping,헤드온도 상승 -> 굴절률 변화 -> 센터링 변화 -> Chipping,Head_Temp 실측값을 baseline(00_stratum_baseline_stats_by_opcond.csv) 대비 확인,Head_Temp 이상 원인(설비 점검/재보정) 조치 후 Chipping 불량률 72시간 재확인,JHdaimma,DRAFT_UNVERIFIED — 멘토/현장 SOP 확인 전까지 참고용
Kerf_Width_Profile,Chipping,"가공폭 과다/과소 모두 위험 -> 패키지 크기 불균형 또는 가공영역 이탈 (JHdaimma: 통계검정/permutation/SHAP 3방법 합의, Jun: confirmed)",Kerf_Width_Profile 실측값을 baseline(00_stratum_baseline_stats_by_opcond.csv) 대비 확인,Kerf_Width_Profile 이상 원인(설비 점검/재보정) 조치 후 Chipping 불량률 72시간 재확인,Jun / JHdaimma,DRAFT_UNVERIFIED — 멘토/현장 SOP 확인 전까지 참고용
Laser_Centering_Position,Chipping,빔 중심 이탈 -> 비대칭 절단,Laser_Centering_Position 실측값을 baseline(00_stratum_baseline_stats_by_opcond.csv) 대비 확인,Laser_Centering_Position 이상 원인(설비 점검/재보정) 조치 후 Chipping 불량률 72시간 재확인,JHdaimma,DRAFT_UNVERIFIED — 멘토/현장 SOP 확인 전까지 참고용
Laser_Power,Chipping,출력 부족 -> low-k 불완전 승화 -> 블레이드가 잔류물 타격,Laser_Power 실측값을 baseline(00_stratum_baseline_stats_by_opcond.csv) 대비 확인,Laser_Power 이상 원인(설비 점검/재보정) 조치 후 Chipping 불량률 72시간 재확인,JHdaimma,DRAFT_UNVERIFIED — 멘토/현장 SOP 확인 전까지 참고용
Power_Efficiency,Chipping,효율 이상(과다/과소 모두) -> 승화 불완전 (멘토: U자형 비선형 주의),Power_Efficiency 실측값을 baseline(00_stratum_baseline_stats_by_opcond.csv) 대비 확인,Power_Efficiency 이상 원인(설비 점검/재보정) 조치 후 Chipping 불량률 72시간 재확인,JHdaimma,DRAFT_UNVERIFIED — 멘토/현장 SOP 확인 전까지 참고용
Top_Kerf,Chipping,Kerf_Width_Profile과 동일 메커니즘 상속 (3방법 합의로 확정),Top_Kerf 실측값을 baseline(00_stratum_baseline_stats_by_opcond.csv) 대비 확인,Top_Kerf 이상 원인(설비 점검/재보정) 조치 후 Chipping 불량률 72시간 재확인,JHdaimma,DRAFT_UNVERIFIED — 멘토/현장 SOP 확인 전까지 참고용
Vibration,"Particle, Micro_Crack","기계적 진동 -> 디브리 비산/재부착(Particle), 응력 축적(Micro_Crack)",Vibration 실측값을 baseline(00_stratum_baseline_stats_by_opcond.csv) 대비 확인,"Vibration 이상 원인(설비 점검/재보정) 조치 후 Particle, Micro_Crack 불량률 72시간 재확인",daeho / JHdaimma,DRAFT_UNVERIFIED — 멘토/현장 SOP 확인 전까지 참고용
