defect,factor,tier,action_type,inspection_target,normal_range,warning_signal,recommended_action,evidence_methods,reproducibility,confidence_note,status
Chipping,Head_Temp,Tier1_실행준비완료,즉시조치,Head_Temp (레이저 헤드 온도),OPCOND 층별 median 기준 z <= +2.58,"z > +2.58 (위험구간 불량률 40.67% vs 정상구간 0.65%, 위험비 63배)","헤드 온도 상승 원인(냉각계통) 점검, 굴절률 변화로 인한 센터링/Kerf 불균일 재확인",4/4 (단변량/RF/Machine통제/SHAP),reproduced (원본 0.21 / r1 0.75),멘토 인과사슬(Head_Temp->굴절률->센터링) 확정 근거 있음,DRAFT_UNVERIFIED
Chipping,Power_Efficiency,Tier1_실행준비완료,즉시조치,Power_Efficiency (레이저 효율),"OPCOND 층별 median 기준 -2.25 <= z (U자형, 상하한 모두 주의)","z < -2.25 (위험구간 불량률 40.36% vs 정상 1.24%, 위험비 32.5배). 상방 이탈도 멘토 지적 U자형 특성상 별도 감시 필요",레이저 조사 에너지 이상(과다/과소 모두) 점검. 단조 상관만으로 판단 금지 — 멘토 지적,4/4 (단변량/RF/Machine통제/SHAP),reproduced (원본 -0.35 / r1 -0.78),"U자형 비선형 — 방향(down)은 하한 이탈 기준, 상한 이탈은 별도 검증 권장",DRAFT_UNVERIFIED
Chipping,Laser_Power,Tier1_실행준비완료,즉시조치,Laser_Power (레이저 출력),OPCOND 층별 median 기준 z >= -2.19,"z < -2.19 (위험구간 불량률 41.93% vs 정상 2.04%, 위험비 20.5배)",레이저 출력 저하 원인 점검 — 출력 부족시 low-k 불완전 승화로 블레이드가 잔류물 타격,4/4 (단변량/RF/Machine통제/SHAP),reproduced (원본 -0.98 / r1 -0.77),Jun 원안은 이 인자를 'Burn 전용'으로 오분류했었음 — JHdaimma 데이터로 반증됨,DRAFT_UNVERIFIED
Chipping,Vibration,Tier1_실행준비완료,즉시조치,Vibration (설비 진동),OPCOND 층별 median 기준 z <= +2.06,"z > +2.06 (위험구간 불량률 38.22% vs 정상 2.21%, 위험비 17.3배)","스테이지 축 진동 점검(베어링/정렬), 장비 노후도 평가 — 나이프 자국형 대형 불량 사고사례 있음","3/4 (단변량/RF/Machine통제, SHAP은 Response 레이어라 모델A 대상 아님)",reproduced (원본 0.34 / r1 0.71),Health Index(Goal5) 핵심 후보 변수로 멘토가 별도 지목,DRAFT_UNVERIFIED
Chipping,Kerf_Width_Profile,Tier1_감시지표,감시(조치대상아님),"Kerf_Width_Profile (절단 폭, 측정 결과값)",OPCOND 층별 median 기준 z <= +3.36,"z > +3.36 (위험구간 불량률 43.07% vs 정상 0.28%, 위험비 154배 — 가장 강한 사후 신호)",Chipping 발생의 선행 경고로 활용. 조치는 상류 원인(Laser_Power/Head_Temp/Power_Efficiency)에서 수행,3/4 (단변량/RF/Machine통제),reproduced (원본 1.00 / r1 0.81),Groove_Depth와 다중공선성 — Groove_Depth는 이 지표로 대체 감시(00_설계기록.md 참고),DRAFT_UNVERIFIED
Remain_Coat,CLN_Pressure,Tier2c_방향일치_크기데이터셋의존,조건부조치(실시간 알람형),"CLN_Pressure (세정 압력, 스트립별 순간값)","OPCOND 층별 median 기준 z >= -1.53 (원본 데이터 기준, 현장값 재확인 필요)","z < -1.53 (원본 데이터 위험구간 불량률 9.76% vs 정상 1.66%, 위험비 5.9배) — 수치는 데이터셋별 편차 큼(원본 delta -0.53 vs r1 -0.14), 확정 전 현장 재검증 요망",스트립별 실시간 급락 알람으로 설계 (추세 감시 아님 — 전성재 검증9: 즉시적 현상). 압력 급락 감지 시 해당 스트립 즉시 재검사,"4/4, 5개 독립방법(Jun/전성재 재현/Machine통제/원본단독/통합판) 일치","direction_only (부호는 일치, 크기는 원본 -0.53 vs r1 -0.14로 3배 차이)","방향은 신뢰도 높음, 임계값(z=-1.53)은 원본 데이터 기준이라 현장 검증 전 잠정치로 취급",DRAFT_UNVERIFIED
Particle,Vibration,Tier2d_데이터셋특정적_재현안됨,관찰만(조치 보류),Vibration (설비 진동),※ 목표 임계값 설정 보류 (원본/r1 부호 불일치),정성적 추이 관찰만 — 원본 기준으로는 z > 0 부근에서 위험 증가 추정되나 r1에서 반증됨. 수치 임계값 지시 금지,Particle 조기경보 후보 변수로 등록해 추이만 관찰. 원본 데이터가 실제 라인과 더 가까운지 확인되면 재평가,2/4 (단변량/RF),"not_reproduced (원본 +0.22 / r1 -0.03, 부호 불일치)",박대호님 원안(원본 단독)에서는 시간선행성까지 확인된 강한 신호였음 — r1 미반영 원인 확인 필요(03_멘토확인요청 참고),DRAFT_UNVERIFIED
Particle,Surface_Roughness,monitor_only,감시(조치대상아님),"Surface_Roughness (표면 거칠기, 측정 결과값)",OPCOND 층별 median 기준 z <= +0.57,"z > +0.57 (위험구간 불량률 17.07% vs 정상 0.12%, 위험비 145배 — 사후 탐지력 매우 높음)","Particle 발생 사후 탐지 지표로만 사용(원인 아님, 박대호 검증: 선행신호 잔존율 7.5%). 조치는 하지 않음",3/4 (단변량/RF/Machine통제),reproduced (원본 0.72 / r1 0.50),원인이 아니라 결과라는 판정 자체는 신뢰도 높음 — Goal4(이상탐지)/Goal5(HealthIndex) 이관 권장,DRAFT_UNVERIFIED
Micro_Crack,Vibration,Tier2d_데이터셋특정적_재현안됨,관찰만(조치 보류),Vibration (설비 진동),※ 목표 임계값 설정 보류 (원본/r1 모두 약하고 부호 불일치),정성적 추이 관찰만 — 임계값 지시 금지,이번 4개 defect 중 근거가 가장 약함. 그루빙 계열 16개 컬럼 제외 후 남는 유일한 후보라 '원인 미확정'에 가까움 — 추가 데이터/현장 확인 전까지 조치 설계 보류,3/4 (단변량/RF/Machine통제),"not_reproduced (원본 +0.09 / r1 -0.09, 둘 다 약하고 부호 불일치)",JHdaimma님의 SHAP 원인모델 1위(0.255) 결과는 원본+r1 통합 학습분이라 이 데이터셋 간 약점을 반영 못함,DRAFT_UNVERIFIED
Micro_Crack,Surface_Roughness,monitor_only,감시(조치대상아님),"Surface_Roughness (표면 거칠기, 측정 결과값)",참고용 — 위험선 미산출(표본 부족),정성적 추이만 참고,Vibration의 압도적 드라이버라 균열과 공통원인을 공유하는 동반지표로 추정(JHdaimma). 조치는 하지 않음,3/4 (단변량/RF/Machine통제),"direction_only (원본 0.42 / r1 0.36, 방향 일치)",Micro_Crack의 원인 자체가 불확정이라 이 감시지표의 실질 효용도 낮음,DRAFT_UNVERIFIED
