defect,factor,track,tier,tier_meaning,role,actionable,owner,delta_pure,cross_check,reproducibility,caution
Chipping,Power_Efficiency,원인(조치가능),C1,실행 준비 완료 — 2개 방법론 일치 + 두 데이터셋 재현,원인(조치가능),True,JHdaimma,-0.8989,일치,reproduced,
Chipping,Head_Temp,원인(조치가능),C1,실행 준비 완료 — 2개 방법론 일치 + 두 데이터셋 재현,원인(조치가능),True,JHdaimma,0.8867,일치,reproduced,
Chipping,Laser_Power,원인(조치가능),C1,실행 준비 완료 — 2개 방법론 일치 + 두 데이터셋 재현,원인(조치가능),True,JHdaimma,-0.8724,일치,reproduced,
Chipping,Vibration,원인(조치가능),C1,실행 준비 완료 — 2개 방법론 일치 + 두 데이터셋 재현,원인(조치가능),True,JHdaimma,0.8443,일치,reproduced,
Chipping,Laser_Centering_Position,원인(조치가능),C3,관찰 — 대조 불일치 + 재현 안 됨,원인(조치가능),True,JHdaimma,0.6067,불일치,not_reproduced,
Particle,Vibration,원인(조치가능),C3,관찰 — 대조 불일치 + 재현 안 됨,원인(조치가능),True,daeho,0.0865116090164863,불일치,not_reproduced,확정이지만 엄격(pure/primary) 라벨 효과크기 |delta|<0.2 — 다른 defect가 섞인 넓은 라벨에 의존한 결론일 수 있음. 재확인 필요
Remain_Coat,CLN_Pressure,원인(조치가능),C3,관찰 — 대조 불일치 + 재현 안 됨,원인(조치가능),True,전성재,-0.2466,불일치,direction_only,
Chipping,Kerf_Width_Profile,감시지표(경보전용),M1,경보 사용 가능 — 2개 방법론 일치,감시지표(관찰만),False,JHdaimma,0.9306,일치,reproduced,
Chipping,Bottom_Kerf,감시지표(경보전용),M2,경보 사용 가능하나 대조 불일치 — 문구에 단서 필요,감시지표(관찰만),False,JHdaimma,0.9272,불일치,reproduced,
Chipping,Top_Kerf,감시지표(경보전용),M2,경보 사용 가능하나 대조 불일치 — 문구에 단서 필요,감시지표(관찰만),False,JHdaimma,0.926,불일치,reproduced,
Chipping,Laser_Cleaning_Demand,감시지표(경보전용),M2,경보 사용 가능하나 대조 불일치 — 문구에 단서 필요,감시지표(관찰만),False,JHdaimma,-0.8622,불일치,reproduced,
Chipping,Groove_Depth,감시지표(경보전용),M2,경보 사용 가능하나 대조 불일치 — 문구에 단서 필요,감시지표(관찰만),False,JHdaimma,-0.7504,불일치,reproduced,
Chipping,Package_Size_Asymmetry,감시지표(경보전용),M2,경보 사용 가능하나 대조 불일치 — 문구에 단서 필요,감시지표(관찰만),False,JHdaimma,0.6005,불일치,reproduced,
Chipping,Surface_Roughness,감시지표(경보전용),M3,결과 공변 — 사후 탐지만. 예측·조치 불가,감시지표(결과공변·사후),False,JHdaimma,0.3982,불일치,direction_only,
Micro_Crack,Surface_Roughness,감시지표(경보전용),M3,결과 공변 — 사후 탐지만. 예측·조치 불가,감시지표(결과공변·사후),False,JHdaimma,0.4919,등급차,reproduced,
Particle,Surface_Roughness,감시지표(경보전용),M3,결과 공변 — 사후 탐지만. 예측·조치 불가,감시지표(결과공변·사후),False,daeho,0.6180465306202534,등급차,reproduced,
Chipping,Kerf_Angle,후보,P1,한쪽 방법만 통과 — 확정 아님,감시지표(관찰만),False,JHdaimma,0.7811,등급차,reproduced,
Chipping,Package_Size_1,후보,P1,한쪽 방법만 통과 — 확정 아님,감시지표(관찰만),False,JHdaimma,-0.5988,등급차,direction_only,
Chipping,Package_Size_4,후보,P1,한쪽 방법만 통과 — 확정 아님,감시지표(관찰만),False,JHdaimma,0.5959,등급차,reproduced,
Chipping,Package_Size_2,후보,P1,한쪽 방법만 통과 — 확정 아님,감시지표(관찰만),False,JHdaimma,-0.5287,등급차,not_reproduced,
Chipping,Package_Size_3,후보,P1,한쪽 방법만 통과 — 확정 아님,감시지표(관찰만),False,JHdaimma,0.5253,등급차,not_reproduced,
Micro_Crack,Process_Time,후보,P1,한쪽 방법만 통과 — 확정 아님,원인(조치가능),False,JHdaimma,-0.0094,등급차,direction_only,
Particle,Focus,후보,P1,한쪽 방법만 통과 — 확정 아님,원인(조치가능),False,daeho,-0.0742040680735774,담당자_단독,,멘토 제외 지시 컬럼 — 이 인자가 포함된 분석은 해당 컬럼을 빼고 재실행 필요
Particle,Kerf_Width_Profile,후보,P1,한쪽 방법만 통과 — 확정 아님,감시지표(관찰만),False,daeho,-0.0692496877501032,등급차,not_reproduced,
Particle,Top_Kerf,후보,P1,한쪽 방법만 통과 — 확정 아님,감시지표(관찰만),False,daeho,-0.0624392531541221,등급차,not_reproduced,
Particle,Bottom_Kerf,후보,P1,한쪽 방법만 통과 — 확정 아님,감시지표(관찰만),False,daeho,-0.0589605476445626,등급차,not_reproduced,
Particle,Cleaning_Load_Ratio,후보,P1,한쪽 방법만 통과 — 확정 아님,감시지표(관찰만),False,daeho,0.0359288526005445,등급차,not_reproduced,
Particle,CLN_Pressure,후보,P1,한쪽 방법만 통과 — 확정 아님,원인(조치가능),False,daeho,0.0131042493751023,등급차,direction_only,
Particle,CLN_Flow,후보,P1,한쪽 방법만 통과 — 확정 아님,원인(조치가능),False,daeho,-0.0075741767177313,등급차,direction_only,
