defect,column,layer,subsystem,domain_status,domain_mechanism,direction_hypothesis,delta_pure,p_fdr_pure,flag_univariate,flag_nonlinear,flag_rf,flag_machine_controlled,flag_shap,shap_mean_abs,n_methods_agree,temporal_status,tier
Chipping,Laser_Power,FDC,fdc_laser,defect_related,출력 부족 -> low-k 불완전 승화 -> 잔류물에 블레이드 충돌 (JHdaimma 데이터 반증: Jun 원안의 Burn전용 분류는 오분류였음),down,-0.8523,0.000e+00,True,True,True,True,True,1.12507,4,선행신호 유지,Tier1_실행준비완료
Chipping,Power_Efficiency,FDC,fdc_laser,defect_related,실제 조사 에너지 이상 -> 승화 불완전 (멘토: U자형 비선형 주의),either,-0.8789,0.000e+00,True,True,True,True,True,0.95384,4,선행신호 유지,Tier1_실행준비완료
Chipping,Head_Temp,FDC,fdc_thermal,defect_related,헤드온도->크리스탈 스팟온도->굴절률->센터링 변화->Chipping/Kerf 불균일 (멘토 인과사슬 확정),up,0.8727,0.000e+00,True,True,True,True,True,1.89687,4,선행신호 유지,Tier1_실행준비완료
Chipping,Laser_Centering_Position,FDC,fdc_laser,defect_related,Head_Temp 인과사슬 종착점 — 빔 중심 이탈로 비대칭 절단,either,0.5757,0.000e+00,True,True,True,False,True,0.21286,3,선행신호 유지,Tier1_실행준비완료
Chipping,Vibration,FDC,fdc_mechanical,defect_related,장비 노후로 스테이지 축 이동 시 진동 -> 나이프 자국형 대형 불량 (팀설계서 회의록 + 멘토 사고사례),up,0.8161,0.000e+00,True,True,False,True,True,0.19462,3,선행신호 유지,Tier1_실행준비완료
Chipping,Kerf_Width_Profile,Response,response,defect_related,레이저 홈 폭 < 블레이드 폭이면 블레이드가 안 파인 low-k 가장자리 침범,either,0.9123,0.000e+00,True,True,True,True,False,,3,선행신호 유지,Tier1_실행준비완료
Chipping,Groove_Depth,Response,response,defect_related,깊이 부족 시 low-k 미승화 -> 블레이드가 잔류 low-k 직접 타격,down,-0.7262,0.000e+00,True,True,False,False,False,,1,선행신호 유지,Tier3_약한신호
Chipping,Top_Kerf,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.9075,0.000e+00,True,True,True,True,False,,3,선행신호 유지,candidate_needs_domain_review
Chipping,Bottom_Kerf,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.9087,0.000e+00,True,True,True,True,False,,3,선행신호 유지,candidate_needs_domain_review
Chipping,Surface_Roughness,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.3266,0.000e+00,True,False,True,True,False,,3,선행신호 유지,candidate_needs_domain_review
Chipping,Laser_Cleaning_Demand,Response,engineered,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.8417,0.000e+00,True,True,True,True,False,,3,선행신호 유지,candidate_needs_domain_review
Chipping,Package_Size_Asymmetry,Other,engineered,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.5713,0.000e+00,True,True,True,True,False,,3,선행신호 유지,candidate_needs_domain_review
Chipping,Cooling_Flow,FDC,fdc_thermal,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.478,0.000e+00,True,True,False,False,True,0.09777,2,선행신호 유지,candidate_needs_domain_review
Chipping,Frequency,FDC,fdc_laser,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0158,5.153e-03,False,False,False,False,True,0.08681,1,판단보류,insufficient_evidence
Chipping,Alignment_Time,FDC,fdc_motion,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0003,9.538e-01,False,False,False,False,True,0.09683,1,판단보류,insufficient_evidence
