defect,factor,layer,role,role_note,subsystem,owner,final_status,actionable,confidence,cross_check,owner_verdict,owner_verdict_raw,jun_verdict,jun_verdict_raw,delta_pure,delta_broad,p_fdr_pure,n_methods,delta_original,delta_r1,reproducibility,temporal_status,domain_status,domain_mechanism,owner_note,caution,source_file
Chipping,Power_Efficiency,FDC,원인(조치가능),,fdc_laser,JHdaimma,confirmed_cause,True,높음(2개 방법론 일치),일치,confirmed,confirmed,confirmed,Tier1_실행준비완료,-0.8989,-0.9506,0.0,2.0,,-0.9246,reproduced,선행신호 유지,defect_related,실제 조사 에너지 이상 -> 승화 불완전 (⚠멘토: U자형 비선형),멘토: U자형 비선형 — 단조검정 과소평가 가능,,JHdaimma db_01_factors.csv
Chipping,Head_Temp,FDC,원인(조치가능),,fdc_thermal,JHdaimma,confirmed_cause,True,높음(2개 방법론 일치),일치,confirmed,confirmed,confirmed,Tier1_실행준비완료,0.8867,0.9319,0.0,2.0,,0.8665,reproduced,선행신호 유지,defect_related,헤드온도->크리스탈 스팟온도->굴절률->센터링 변화->Chipping/Kerf 불균일,,,JHdaimma db_01_factors.csv
Chipping,Laser_Power,FDC,원인(조치가능),,fdc_laser,JHdaimma,confirmed_cause,True,높음(2개 방법론 일치),일치,confirmed,confirmed,confirmed,Tier1_실행준비완료,-0.8724,-0.9229,0.0,2.0,,-0.9071,reproduced,선행신호 유지,defect_related,출력 부족 -> low-k 불완전 승화 -> 잔류물에 블레이드 충돌 (Jun은 Burn전용으로 오분류했음),,,JHdaimma db_01_factors.csv
Chipping,Vibration,FDC,원인(조치가능),,fdc_mechanical,JHdaimma,confirmed_cause,True,높음(2개 방법론 일치),일치,confirmed,confirmed,confirmed,Tier1_실행준비완료,0.8443,0.9022,0.0,2.0,,0.8694,reproduced,선행신호 유지,defect_related,장비 노후화로 스테이지 축 이동 시 설비가 흔들려 나이프 자국 형태의 대형 불량 발생,,,JHdaimma db_01_factors.csv
Chipping,Laser_Centering_Position,FDC,원인(조치가능),,fdc_laser,JHdaimma,confirmed_cause,True,중간(Jun 대조본과 불일치 — rel_03 참조),불일치,confirmed,confirmed,candidate,Tier2d_데이터셋특정적_재현안됨,0.6067,0.6577,0.0,2.0,,0.6478,not_reproduced,선행신호 유지,defect_related,Head_Temp 인과사슬 종착점 — 빔 중심 이탈로 비대칭 절단,,,JHdaimma db_01_factors.csv
Chipping,Kerf_Width_Profile,Response,감시지표(관찰만),,response,JHdaimma,confirmed_monitor,False,높음(2개 방법론 일치),일치,confirmed,confirmed,confirmed,Tier1_실행준비완료,0.9306,0.9825,0.0,2.0,,0.96,reproduced,선행신호 유지,defect_related,레이저 홈 폭 < 블레이드 폭이면 블레이드가 안 파인 low-k 가장자리 침범,,,JHdaimma db_01_factors.csv
Chipping,Bottom_Kerf,Response,감시지표(관찰만),,response,JHdaimma,confirmed_monitor,False,중간(Jun 대조본과 불일치 — rel_03 참조),불일치,confirmed,confirmed,needs_domain_review,candidate_needs_domain_review,0.9272,0.9794,0.0,2.0,,0.9565,reproduced,선행신호 유지,defect_related,홈 폭 계열 — 동일 메커니즘 (⚠멘토 값중복 재확인 예정),멘토 재확인 대기,,JHdaimma db_01_factors.csv
Chipping,Top_Kerf,Response,감시지표(관찰만),,response,JHdaimma,confirmed_monitor,False,중간(Jun 대조본과 불일치 — rel_03 참조),불일치,confirmed,confirmed,needs_domain_review,candidate_needs_domain_review,0.926,0.978,0.0,2.0,,0.9537,reproduced,선행신호 유지,defect_related,홈 폭 계열 — Kerf_Width_Profile과 동일 메커니즘,,,JHdaimma db_01_factors.csv
Chipping,Laser_Cleaning_Demand,Response,감시지표(관찰만),,engineered,JHdaimma,confirmed_monitor,False,중간(Jun 대조본과 불일치 — rel_03 참조),불일치,confirmed,confirmed,needs_domain_review,candidate_needs_domain_review,-0.8622,-0.9123,0.0,2.0,,-0.8965,reproduced,선행신호 유지,defect_related,Laser_Power x Groove_Depth — 승화 부담 지표,,,JHdaimma db_01_factors.csv
Chipping,Groove_Depth,Response,감시지표(관찰만),,response,JHdaimma,confirmed_monitor,False,중간(Jun 대조본과 불일치 — rel_03 참조),불일치,confirmed,confirmed,candidate,Tier3_약한신호,-0.7504,-0.7993,0.0,2.0,,-0.7863,reproduced,선행신호 유지,defect_related,깊이 부족 시 low-k 미승화 -> 블레이드가 잔류 low-k 직접 타격 -> 박리/파손,,,JHdaimma db_01_factors.csv
